date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
2013-01-01,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2013-02-01,0,0,0,0,0,0,-0.249999999999996
2013-03-01,-1.28887299576473,-1.49205213983195,-1.49205213983195,-1.49205213983195,-1.18728342373112,-0.492052139831951,-7.105427357601e-15
2013-04-01,1.28887299576473,1.49205213983195,0.492052139831951,0.492052139831951,1.18728342373112,0.492052139831951,3.5527136788005e-15
2013-05-01,-1.42857142857143,-0.714285714285714,-0.714285714285714,0.285714285714286,0.285714285714286,-1.71428571428571,1.06581410364015e-14
2013-06-01,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1.06581410364015e-14
2013-07-01,1,1,1,0,0,0,-7.105427357601e-15
2013-08-01,0,0,0,1,1,1,-7.105427357601e-15
2013-09-01,0,-1,-1,-1,-1,-1,3.5527136788005e-15
2013-10-01,0,1,1,1,0,0,-7.105427357601e-15
2013-11-01,-0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,1.28571428571429,1.28571428571429,7.105427357601e-15
2013-12-01,-8.88178419700125e-16,-2,-2,-2,-1,-1,-1.06581410364015e-14
2014-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,-2.22044604925031e-16,7.105427357601e-15
2014-02-01,0,0,0,0,0,0,-0.249999999999996
2014-03-01,0.711127004235269,-0.492052139831951,-0.492052139831951,-0.492052139831951,-0.187283423731122,0.507947860168049,-7.105427357601e-15
2014-04-01,-0.711127004235269,0.492052139831951,0.492052139831951,-0.507947860168049,-0.812716576268879,-0.507947860168049,3.5527136788005e-15
2014-05-01,-0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,1.28571428571429,1.28571428571429,1.06581410364015e-14
2014-06-01,-1,-2,-1,-1,-1,-1,1.06581410364015e-14
2014-07-01,0,1,1,1,0,0,-7.105427357601e-15
2014-08-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2014-09-01,1,1,0,0,0,0,3.5527136788005e-15
2014-10-01,0,0,1,1,1,0,-7.105427357601e-15
2014-11-01,-0.428571428571429,-1.71428571428571,-0.714285714285714,-0.714285714285714,-0.714285714285714,0.285714285714286,7.105427357601e-15
2014-12-01,1,1,-1,-1,-1,-8.88178419700125e-16,-1.06581410364015e-14
2015-01-01,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1,1,7.105427357601e-15
2015-02-01,0,0,0,0,0,0,-0.249999999999996
2015-03-01,0.711127004235269,0.507947860168049,-0.492052139831951,-0.492052139831951,-0.187283423731122,-0.492052139831951,-7.105427357601e-15
2015-04-01,-0.711127004235269,-0.507947860168049,0.492052139831951,0.492052139831951,-0.812716576268879,-0.507947860168049,3.5527136788005e-15
2015-05-01,-1.42857142857143,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,0.285714285714286,1.06581410364015e-14
